model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_12,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
ARX_na8_nb3_nk1_alpha0.001,8,3,1,0.001,57,93.10503696287837,90.72353589477859,62.338675762428466,"[77.88314967433936, 46.46260893237254, 79.07052887786861, 83.534755275818]",71.73776069009963,14.743962092113971,64.36577964404265
ARX_na8_nb3_nk1_alpha0,8,3,1,0.0,57,93.10500546696792,90.72353151778054,62.33678745613362,"[77.88145268763358, 46.46316535114098, 79.06738815798893, 83.5346538668048]",71.73666501589207,14.743136060106883,64.36509698583863
ARX_na12_nb3_nk1_alpha0.1,12,3,1,0.1,61,93.09005232749293,90.68990228455121,61.98777722211701,"[77.20059656797332, 45.785651465855935, 79.28883811404671, 83.81252309157031]",71.52190230986157,15.049807531732723,63.99699854399521
ARX_na12_nb3_nk1_alpha0.01,12,3,1,0.01,61,93.08800250013715,90.69041624962986,61.877735961975056,"[77.09610428724179, 45.83268462976111, 79.08607544203589, 83.82696835930005]",71.4604581795847,14.996865479410898,63.962025439879255
ARX_na12_nb3_nk1_alpha0.001,12,3,1,0.001,61,93.08772907665703,90.69040309188253,61.863359607505416,"[77.08206851214403, 45.839184966532365, 79.06000667698817, 83.82781132931183]",71.45226787124409,14.989633390770944,63.957451175858615
ARX_na12_nb3_nk1_alpha0,12,3,1,0.0,61,93.08769762507765,90.6904006372257,61.86171097597164,"[77.08045218183446, 45.83993548214745, 79.05702184705697, 83.82789489881928]",71.45132610246455,14.98879959214648,63.95692630639131
ARX_na3_nb2_nk1_alpha0.1,3,2,1,0.1,36,92.41335611094448,89.48507046850511,61.519883097505065,"[70.68563325108369, 46.683595240703404, 79.59902017545868, 80.24395014085877]",69.30304970202613,13.594682488019169,62.50570845801654
ARX_na3_nb2_nk1_alpha0.01,3,2,1,0.01,36,92.41302041943766,89.4897141725088,61.49333819232281,"[70.6692158781942, 46.63488229477291, 79.58030074922931, 80.26237123936946]",69.28669254039147,13.61469583798452,62.47934462139921
ARX_na3_nb2_nk1_alpha0.001,3,2,1,0.001,36,92.41298029116196,89.49014924121676,61.490683252848925,"[70.66730785506044, 46.630679692407284, 79.57814135331921, 80.26446218554054]",69.28514777158188,13.61640878059399,62.47694338128488
ARX_na3_nb2_nk1_alpha0,3,2,1,0.0,36,92.41297573990823,89.49019716707706,61.49038790947293,"[70.66709341160406, 46.63022102252145, 79.57789756455807, 80.26469762179038]",69.28497740511848,13.616595507460703,62.47667965138813
ARX_na3_nb8_nk1_alpha0,3,8,1,0.0,132,93.27764817830737,90.89499705179777,57.16612955563431,"[74.74032949345344, 43.91139728771039, 73.36629895229349, 78.87176162080826]",67.72244683856638,13.89583610714216,60.774528784995304
ARX_na3_nb8_nk1_alpha0.001,3,8,1,0.001,132,93.27771098799936,90.8950045816163,57.163803834682426,"[74.73896640979657, 43.91101572823288, 73.36357022279067, 78.86953979874401]",67.72077303989104,13.895104728897243,60.773220675442424
ARX_na3_nb8_nk1_alpha0.01,3,8,1,0.01,132,93.27825436303405,90.8950631168244,57.14325867228435,"[74.72692456930002, 43.907381625455464, 73.33966591636833, 78.84988926584951]",67.70596534424334,13.888773145664915,60.76157877141088
ARX_na3_nb8_nk1_alpha0.1,3,8,1,0.1,132,93.2822294957552,90.89505440697374,56.9673265831512,"[74.62365372202426, 43.85995009196634, 73.14793825853509, 78.67953603252163]",67.57776952626183,13.842465839613313,60.65653660645518
ARX_na5_nb3_nk1_alpha0.1,5,3,1,0.1,54,93.12134795943943,90.72544461398444,59.31811023979194,"[75.98803774146694, 41.146080856024845, 75.52722746806954, 80.12959515365397]",68.19773530480381,15.720778887310248,60.33734586114869
ARX_na5_nb3_nk1_alpha0.01,5,3,1,0.01,54,93.11934795641909,90.7254625987834,59.17249599136349,"[75.87827823553235, 41.15632289392822, 75.2754899487242, 80.1210119616443]",68.10777575995726,15.67207302052028,60.27173924969712
ARX_na5_nb3_nk1_alpha0.001,5,3,1,0.001,54,93.11908170198365,90.72539399214043,59.15430421778667,"[75.86381665864906, 41.15879476829356, 75.24374323496453, 80.11952752140135]",68.09647054582712,15.665307592437197,60.263816749608516
ARX_na5_nb3_nk1_alpha0,5,3,1,0.0,54,93.1190510849902,90.72538529360645,59.15222796447741,"[75.86215462921761, 41.159092335663374, 75.24011649197365, 80.11935148016308]",68.09517873425443,15.66452625209613,60.26291560820637
ARX_na2_nb3_nk1_alpha0.1,2,3,1,0.1,51,92.9775588364916,90.62510823525723,56.02574641401294,"[72.72329426504322, 39.65727329784271, 77.50631019280839, 78.55862026929088]",67.1113745062463,16.002464185460212,59.1101424135162
ARX_na2_nb3_nk1_alpha0.01,2,3,1,0.01,51,92.97554746690592,90.62483041138142,55.93599292665867,"[72.63239827460374, 39.749775646892715, 77.2605688423759, 78.63127194488852]",67.06850367719022,15.928320898861031,59.104343227759706
ARX_na2_nb3_nk1_alpha0.001,2,3,1,0.001,51,92.97527946174398,90.62469685949759,55.92246762497113,"[72.619014520425, 39.76070200356793, 77.22809385960556, 78.63771666770376]",67.06138176282556,15.918448117472034,59.10215770408954
ARX_na2_nb3_nk1_alpha0,2,3,1,0.0,51,92.97524864542777,90.62468042381747,55.92089591551104,"[72.61745936618271, 39.76194286260339, 77.22436603614977, 78.6384186584026]",67.06054673083462,15.917312841947947,59.10189030986064
ARX_na3_nb5_nk1_alpha0,3,5,1,0.0,84,93.30728310985934,90.92377516498344,54.898572389375474,"[73.94356347431332, 37.34717735002604, 72.95347844971688, 77.54981359446923]",65.44850821713138,16.314234048467327,57.29139119289771
ARX_na3_nb5_nk1_alpha0.001,3,5,1,0.001,84,93.30731813824349,90.92377271547892,54.898377260809305,"[73.94384132122744, 37.34648981529391, 72.95390582876364, 77.54897728822282]",65.44830356337695,16.314460362576853,57.29107338208853
ARX_na3_nb5_nk1_alpha0.01,3,5,1,0.01,84,93.30762167139498,90.92374666838509,54.896591113961826,"[73.94613741684701, 37.34046062053906, 72.95762352641421, 77.54146980110977]",65.44642284122752,16.3163917343317,57.288226974061665
ARX_na3_nb5_nk1_alpha0.1,3,5,1,0.1,84,93.3098623137898,90.92320138071976,54.87723075311056,"[73.95608332817564, 37.290975124887105, 72.98669884938572, 77.46867265914278]",65.42560749039781,16.328901352808106,57.26115681399376
ARX_na2_nb1_nk1_alpha0,2,1,1,0.0,19,90.9952883930101,82.95748888189677,61.27534910663339,"[59.448415559734656, 70.98844658096203, 57.987289190428456, 52.289481804282126]",60.178408283851816,6.790176382905561,56.78332009239904
ARX_na2_nb1_nk1_alpha0.001,2,1,1,0.001,19,90.99529352216278,82.95732483560948,61.27480363700164,"[59.447394680042656, 70.98760709541396, 57.987322015803365, 52.28899431786031]",60.17782952728007,6.790008657170591,56.78282519869477
ARX_na2_nb1_nk1_alpha0.01,2,1,1,0.01,19,90.99533960440496,82.95584878115014,61.26989613513704,"[59.43820842712044, 70.98003990082206, 57.98761998913493, 52.28461243917422]",60.17262018906291,6.788493455807944,56.77837346115894
ARX_na2_nb1_nk1_alpha0.1,2,1,1,0.1,19,90.99579252069707,82.9411240858522,61.220994158749306,"[59.34651362647996, 70.90323224747993, 57.9908466248608, 52.24133196372145]",60.12048111563554,6.772796358742216,56.734082936264436
ARX_na12_nb2_nk1_alpha0,12,2,1,0.0,45,92.43585131675232,89.69036993573533,45.998953168387956,"[65.29149438241939, 32.520412536362805, 70.48851302835011, 67.80137238242399]",59.025448082389076,15.412648627065236,51.31912376885646
ARX_na12_nb2_nk1_alpha0.001,12,2,1,0.001,45,92.4358539760994,89.6903385123035,45.99819025088977,"[65.29119724393578, 32.51976164456506, 70.48826051078908, 67.80029085474229]",59.02487756350805,15.412697356740523,51.31852888513779
ARX_na12_nb2_nk1_alpha0.01,12,2,1,0.01,45,92.43587741899314,89.69005389201716,45.991344420456045,"[65.28849528249539, 32.51399144711375, 70.48595197140435, 67.79060277826412]",59.0197603698194,15.41309548717665,51.31321262623108
