model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
ARX_na24_nb9_nk2_alpha0.1,24,9,2,0.1,480,40,180,178,97.54390817027759,77.22146086621069,"[62.62361270499892, 67.42028385072689, 81.0128709751333, 89.87650352928449]",75.2333177650359,10.815200937591321,69.82571729624024
ARX_na24_nb6_nk1_alpha1,24,6,1,1.0,480,20,120,127,97.47094436196718,77.63066624164338,"[63.39730595919385, 66.53314061034337, 81.1380180147505, 89.0242853754885]",75.02318748994405,10.495998186601382,69.77518839664336
ARX_na24_nb9_nk2_alpha1,24,9,2,1.0,480,40,180,178,97.54290411577693,76.90838253977962,"[61.79557080467289, 67.31040682960017, 80.87647791180981, 89.83473438951023]",74.95429748389827,11.046275115124336,69.43115992633611
ARX_na12_nb9_nk2_alpha0.01,12,9,2,0.01,240,40,180,166,97.54180498449597,77.10136010657432,"[62.135759790955404, 66.32685797730772, 81.2737651945003, 89.90648571508004]",74.91071716946087,11.205396346137011,69.30801899639236
ARX_na12_nb9_nk2_alpha0.1,12,9,2,0.1,240,40,180,166,97.54187574104289,77.0568889531511,"[62.02111682455816, 66.30249284909742, 81.2575823096354, 89.90434973494352]",74.87138542955863,11.239760336348617,69.25150526138432
ARX_na24_nb6_nk1_alpha0.1,24,6,1,0.1,480,20,120,127,97.4725549437443,76.95213827306213,"[61.66143270461273, 66.06996852691374, 80.95978485964278, 89.12572149212538]",74.45422689582365,11.085197446654222,68.91162817249653
ARX_na12_nb9_nk2_alpha1,12,9,2,1.0,240,40,180,166,97.54105708611522,76.6968481529493,"[61.07952885751834, 66.13892044021267, 81.11618858457905, 89.87095785139485]",74.55139893342623,11.51136858008115,68.79571464338565
ARX_na18_nb9_nk1_alpha0.01,18,9,1,0.01,360,20,180,172,97.53692708999888,76.19928765081976,"[59.55764267506958, 68.42209124314167, 80.54532353502874, 89.23451459960803]",74.439893013212,11.33415659646086,68.77281471498156
ARX_na24_nb6_nk1_alpha0.01,24,6,1,0.01,480,20,120,127,97.4725944999476,76.83514121922242,"[61.36131391086159, 65.99934185172233, 80.92812357538315, 89.13361532172608]",74.35559866492329,11.183317086235684,68.76394012180545
ARX_na18_nb9_nk1_alpha0.1,18,9,1,0.1,360,20,180,172,97.53697956377391,76.16039553237025,"[59.463377324775244, 68.39532690719324, 80.5266574920947, 89.24203042512437]",74.4068480372969,11.368601579315001,68.7225472476394
ARX_na18_nb9_nk1_alpha1,18,9,1,1.0,360,20,180,172,97.53597765978428,75.92302026478443,"[58.875221348308784, 68.23913038784058, 80.40606170427318, 89.24883479506535]",74.19231205887198,11.568958481699607,68.40783281802217
ARX_na6_nb9_nk3_alpha0.01,6,9,3,0.01,120,60,180,160,97.51410406781713,76.44307245723581,"[60.492451784863135, 64.6421646239997, 81.74157063059775, 89.48489511492862]",74.09027053859731,11.934238970048414,68.1231510535731
ARX_na6_nb9_nk3_alpha0.1,6,9,3,0.1,120,60,180,160,97.5141720314736,76.44129387022801,"[60.47909119364034, 64.66150842383615, 81.73607223500083, 89.47097499321353]",74.08691171142272,11.9288522724468,68.12248557519932
