rank,na,nb,nk,order,n_params,rank_x_train,sigma2_train,val_FIT_1step,val_FIT_12step,val_FIT_sim,val_RMSE_sim,test_FIT_1step,test_FIT_12step,test_FIT_sim,test_RMSE_sim,test_Bias_sim
88,3,4,5,"(3,4,5)",68,64,0.03284693684692102,79.8559797700624,-0.642599245221942,-19.08189337333863,3.5752862920442925,78.93247395925684,-4.475270754140248,-18.34180380111119,3.4473596897220187,-0.030594336619750702
89,4,2,5,"(4,2,5)",37,35,0.035731273495744474,78.93837287146106,0.09511694790921288,-20.93032571907074,3.630740448305462,78.13952072586814,-5.947284037585399,-25.451257560696796,3.654318725488876,-0.04656863727703329
90,2,5,5,"(2,5,5)",83,78,0.032955164786261,79.86164549770074,-3.1837544940960028,-24.091553685441845,3.7257432037404152,78.8558989702292,-7.498216503429567,-24.161630314979178,3.6169323413481727,-0.024336806277910277
91,5,5,5,"(5,5,5)",86,81,0.03264712682727532,79.94011971516801,-5.884491404119108,-24.596645295634325,3.7409081491218803,78.96675785628557,-10.480326458128797,-28.81382692583596,3.7524547272691007,-0.02803610911048208
92,4,5,5,"(4,5,5)",85,80,0.03265056383855488,79.93686722015329,-6.321491711173244,-25.61276955213243,3.7714164144337987,78.96278247167345,-11.166971086526246,-31.09303293808572,3.818849908432462,-0.03266952769298926
93,2,5,4,"(2,5,4)",83,78,0.03299702720724773,79.83371441465444,-3.0981102486499434,-32.3201906090826,3.972749762738151,78.86142441606836,-7.121607836923749,-27.65224061790248,3.7185776663370476,-0.03994811732932589
94,4,4,5,"(4,4,5)",69,65,0.03271448653164221,79.90735568023798,-6.714855608682901,-32.50691929873253,3.978356060266053,78.96049565236052,-11.208030397834357,-35.670506359868746,3.952154012247654,-0.06264963513666297
95,2,4,4,"(2,4,4)",67,63,0.03307290055444405,79.82887698589558,-1.774301245387755,-32.78774638361581,3.986766156119095,78.84542673460773,-5.576139702843075,-25.77527478879249,3.663833061942104,-0.07245594672010928
96,2,4,5,"(2,4,5)",67,63,0.03302630367348304,79.83038665146536,-3.524592399629767,-33.12793869596966,3.997001398151927,78.85083491814264,-7.590719715563288,-28.57484712905185,3.7454536847333597,-0.06365158255535132
97,5,4,5,"(5,4,5)",70,66,0.0327127920292208,79.9093508712889,-6.343296728084513,-33.21071060895806,3.999486522275255,78.96343532340758,-10.665962339988022,-34.29374358463135,3.9120481803166167,-0.06059367118624885
98,3,3,5,"(3,3,5)",52,49,0.03304860998412812,79.81980266744326,-3.303436982055774,-33.2704847103098,4.001259698449163,78.8869700254579,-6.832734815226549,-26.91936038434688,3.6971602690400234,-0.08836281436615032
99,2,3,5,"(2,3,5)",51,48,0.03312485973431961,79.81319549123923,-4.6328579912815915,-37.845212705242574,4.138609500975059,78.83951104381977,-8.445684000116337,-30.49801241817953,3.80140638307762,-0.11316172498518268
100,5,3,5,"(5,3,5)",54,51,0.032849124910537764,79.8927011063745,-10.195515448363658,-48.98469900837088,4.473056979747422,78.93092253273699,-14.46340689460499,-47.01371192424355,4.282508618735865,-0.16817921101772199
101,4,3,5,"(4,3,5)",53,50,0.03284930434781987,79.89169131142016,-10.416858883187906,-49.48099583957981,4.4879575971909675,78.92936288478843,-14.77190548906906,-48.42884104480354,4.323731322224538,-0.1728112122454244
102,5,1,5,"(5,1,5)",22,21,0.03592622027561561,78.8678823013196,-1.1825705996487024,-64.51782271083928,4.939323037891962,78.08688372406003,-8.813099982751549,-56.10145485998741,4.547034448195508,-0.2068401588066205
103,1,1,1,"(1,1,1)",18,17,0.03056761620010375,80.43664676232231,38.34367125199771,-112.66783603905904,6.384374742090155,80.03977297097967,38.58452183360897,-207.74716551326074,8.963531713227628,-7.4043498597034505
104,1,4,5,"(1,4,5)",66,62,0.10429185197209563,63.70704664187119,-54.438157105824736,-114.3459329050705,6.435471035620287,62.952860404029295,-60.09460869444134,-179.07895331299704,8.129718349721534,-5.39312088599472
105,2,5,3,"(2,5,3)",83,78,0.02867804244416953,81.18993018629827,-141.33301799469012,-120.22223267242799,6.611864181405753,80.31075422493792,-154.1791371442938,-131.2663134010722,6.73678643576945,-1.4705669295299553
106,2,4,3,"(2,4,3)",67,63,0.029561055820927436,80.86634413753325,-148.27517853728241,-126.82094172448598,6.809937563179464,80.03286095689135,-168.90043234989272,-136.63755702249225,6.8931079097620485,-1.5681333652415004
107,2,2,3,"(2,2,3)",35,33,0.030455169860650954,80.55166677437036,-149.11644495413512,-127.15477483667952,6.819759287496942,79.77991988998593,-169.95441376767303,-139.76029554626882,6.983744132294021,-1.6025637302837765
108,5,2,3,"(5,2,3)",38,36,0.02982707925839627,80.77846691082429,-151.89091061171433,-127.53024228162305,6.831146613787005,79.95890418154808,-175.1921172098478,-140.65152730753482,7.009869226777501,-1.6517650791602887
109,2,1,3,"(2,1,3)",19,18,0.030622240537591223,80.49071687906792,-150.1047666015116,-128.20842208578998,6.851235143630158,79.74866591810822,-172.40044957046234,-142.47552358489824,7.062670709576122,-1.6675701944070813
110,3,5,3,"(3,5,3)",84,79,0.028496544576666675,81.27451256005223,-150.3132987948514,-129.907394814891,6.902647613594958,80.37376620697755,-169.20272168215723,-138.92035464422614,6.959748615031051,-1.5580977671997494
111,2,3,3,"(2,3,3)",51,48,0.03027205292308783,80.60234408064608,-149.8554625864159,-129.99258262801607,6.905073524559747,79.84146720295251,-171.77928592788643,-143.3542889106009,7.088597193313268,-1.703962971640661
112,4,5,3,"(4,5,3)",85,80,0.028495418156970202,81.27625234087562,-151.0276355351246,-131.1606690157531,6.940275416644643,80.37358430097635,-170.2151911533135,-141.6397322691745,7.038964070269945,-1.555633576778174
113,4,2,3,"(4,2,3)",37,35,0.030159675984329126,80.65507913647109,-154.84215101842196,-131.18960816712902,6.940895161037876,79.88092619271174,-179.34084547605056,-143.86184648986213,7.103214214987912,-1.7458629723894195
114,5,5,3,"(5,5,3)",86,81,0.02849430929449914,81.2764527955589,-151.2676775992619,-132.9916836369391,6.9952490668639555,80.3722399238573,-170.66799632115845,-143.1606380503945,7.083268047301126,-1.615821070955679
115,4,1,3,"(4,1,3)",21,20,0.03017061975947598,80.65694399219197,-156.80661142158766,-133.23117574775728,7.002188169204016,79.883897947439,-181.67978238942842,-146.47725063150023,7.179395774933553,-1.8065942391225032
116,5,4,3,"(5,4,3)",70,66,0.029417656840160077,80.93219641385298,-156.5711103739029,-133.36433611488715,7.006392559402946,80.08382180512137,-180.72303614505776,-145.54745770052168,7.1526478898552375,-1.743512180840394
117,5,1,3,"(5,1,3)",22,21,0.029858286906717615,80.77427801355462,-155.856535598132,-134.79352142895527,7.049212239941774,79.95679174765404,-180.53814247565535,-146.21235519349486,7.171848985266143,-1.8133658152490926
118,4,4,3,"(4,4,3)",69,65,0.029419144714678238,80.93113414694888,-157.08945071963063,-135.11523693385908,7.058960568184964,80.08152873913899,-181.3612181943756,-147.4804759129272,7.208955533059905,-1.819117329589277
119,4,3,3,"(4,3,3)",53,50,0.03015056916436656,80.6548094735053,-156.39510799862825,-135.89374476936166,7.082244275028009,79.88472544242903,-180.9042366563288,-147.24450227117512,7.2019141010719245,-1.8258837079064973
120,3,4,3,"(3,4,3)",68,64,0.029418930695437964,80.9314053769657,-157.42802016347008,-136.71447250760852,7.1069750695059115,80.08128368180716,-181.7217359547465,-148.23610408879242,7.230966521600497,-1.8491770696760763
121,3,1,3,"(3,1,3)",20,19,0.030338835334898055,80.60125926868625,-155.23169781454703,-136.92568157324456,7.112943252431419,79.82147645754786,-178.42546342368536,-146.78358523657965,7.188153151649187,-1.7972439952695276
122,3,2,3,"(3,2,3)",36,34,0.03031366908125263,80.61339882157803,-158.6505445922411,-140.13457305257083,7.2094455685636945,79.82915447621323,-182.57643986184294,-149.28975102404632,7.2613183596082465,-1.8055718727218464
123,3,3,3,"(3,3,3)",52,49,0.03016112237881295,80.6529470308548,-158.81632233772405,-142.61012590656463,7.283890367442921,79.88142150511128,-182.92856770062897,-150.8487071723104,7.306899950553702,-1.8638941586747304
124,1,5,5,"(1,5,5)",82,77,0.09661278770653058,65.24317869292881,-88.42594237634869,-152.2839511519874,7.57461074909217,63.95234351672825,-105.69546070848355,-167.02385151148295,7.778628566596046,-1.5350835162982814
125,5,3,3,"(5,3,3)",54,51,0.0296150332714825,80.85624290761166,-160.72722513985332,-157.80102576689436,7.739967164534478,80.0167550754753,-183.66706944909401,-168.69609324836867,7.826771334013073,-1.9687609098556007
