dataset,model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_sim,val_robust_score,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_block_FIT_sim
new_identifiable_data,ARX_na12_nb1_nk2_alpha0.1,12,1,2,0.1,29,96.88423544547489,86.82824066890471,81.36584703796417,82.84696535757607,2.9622366392237756,"[79.57881672775984, 84.64422558111472, 86.75311038998701, 80.4117087314427]"
new_identifiable_data,ARX_na8_nb1_nk2_alpha0,8,1,2,0.0,25,96.88474513944868,86.8268792046598,81.36219306065655,82.8356753127102,2.9469645041072856,"[79.58660526529407, 84.6440208517415, 86.70833719081146, 80.40373794299376]"
new_identifiable_data,ARX_na8_nb1_nk2_alpha0.001,8,1,2,0.001,25,96.88474363820937,86.82687427998805,81.36218082699928,82.83567214131438,2.94698262863019,"[79.5865695430889, 84.64402775051242, 86.70835691546745, 80.40373435618874]"
new_identifiable_data,ARX_na8_nb1_nk2_alpha0.01,8,1,2,0.01,25,96.88472985810532,86.82682992326633,81.36207071965033,82.83564352734298,2.947145615385298,"[79.58624828764917, 84.64408966292169, 86.70853422450097, 80.4037019343001]"
new_identifiable_data,ARX_na8_nb1_nk2_alpha0.1,8,1,2,0.1,25,96.88456601494654,86.82638300786431,81.36096926884578,82.83535045084912,2.9487623640066696,"[79.58305970539215, 84.64469157975341, 86.71028650875611, 80.4033640094948]"
new_identifiable_data,ARX_na5_nb1_nk2_alpha0,5,1,2,0.0,22,96.88462456789335,86.78352074242234,81.30429978345177,82.78010433571448,2.9516091045254234,"[79.52450104159219, 84.56730375705342, 86.67475289216895, 80.35385965204335]"
new_identifiable_data,ARX_na5_nb1_nk2_alpha0.001,5,1,2,0.001,22,96.8846230748835,86.78351306429336,81.30428506338615,82.78009778112539,2.9516254354784914,"[79.52446281634214, 84.56730283577141, 86.67476893061357, 80.35385654177443]"
new_identifiable_data,ARX_na5_nb1_nk2_alpha0.01,5,1,2,0.01,22,96.88460936901365,86.78344400316753,81.30415265753263,82.7800388073399,2.951772299614563,"[79.5241191170071, 84.56729452797084, 86.67491314013623, 80.35382844424545]"
new_identifiable_data,ARX_na5_nb1_nk2_alpha0.1,5,1,2,0.1,22,96.8844462861428,86.78275722935503,81.30283559966901,82.77945045609349,2.9532297128489637,"[79.52071389104073, 84.567209376369, 86.67634160769157, 80.35353694927261]"
new_identifiable_data,ARX_na12_nb2_nk1_alpha0.01,12,2,1,0.01,45,96.88474952277882,86.79947888477449,81.29020370598954,82.81876105680134,3.0571147016235827,"[79.47855412314682, 84.59991412735963, 86.90275376220168, 80.29382221449723]"
new_identifiable_data,ARX_na12_nb2_nk1_alpha0.1,12,2,1,0.1,45,96.88453184872539,86.79967695968949,81.29002314452082,82.81934581347737,3.0586453379131147,"[79.4744337991499, 84.6031674123728, 86.90384983522962, 80.29593220715712]"
new_identifiable_data,ARX_na12_nb2_nk1_alpha0.001,12,2,1,0.001,45,96.88477662477314,86.79901107952277,81.28942247928204,82.8180366572827,3.0572283560013416,"[79.47914438350284, 84.598357713801, 86.90294354512314, 80.29170098670383]"
new_identifiable_data,ARX_na12_nb2_nk1_alpha0,12,2,1,0.0,45,96.88477963617468,86.79893416528705,81.28929212358693,82.81791922049698,3.0572541938200732,"[79.47921619460622, 84.5981214934461, 86.9029745289289, 80.29136466500671]"
new_identifiable_data,ARX_na8_nb2_nk1_alpha0.01,8,2,1,0.01,41,96.88507654649302,86.79206980022708,81.27876025962767,82.79908825522008,3.040655991184817,"[79.4775282036658, 84.59351211973171, 86.84621880272448, 80.27909389475832]"
