dataset,model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_sim,val_robust_score,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_block_FIT_sim
old_feedback_data,ARX_na2_nb1_nk2_alpha0.1,2,1,2,0.1,19,85.60010406236154,68.15972987445616,65.65409171052985,66.11177653748547,0.9153696539112339,"[65.70578886574381, 67.65320037613158, 65.83231643631322, 65.25580047175328]"
old_feedback_data,ARX_na2_nb1_nk2_alpha0.01,2,1,2,0.01,19,85.60011289742906,68.15956690503216,65.6539225905021,66.11160176887553,0.915358356746844,"[65.70561483684507, 67.65302658723002, 65.83206525803418, 65.25570039339287]"
old_feedback_data,ARX_na2_nb1_nk2_alpha0.001,2,1,2,0.001,19,85.6001137785626,68.15955059658216,65.65390566638732,66.11158427978114,0.9153572267876572,"[65.70559742031294, 67.65300919694302, 65.83204012300992, 65.25569037885867]"
old_feedback_data,ARX_na2_nb1_nk2_alpha0,2,1,2,0.0,19,85.60011387643969,68.15954878440284,65.653903785794,66.11158233641096,0.9153571012339179,"[65.70559548498937, 67.65300726456086, 65.83203733003621, 65.25568926605739]"
old_feedback_data,ARX_na2_nb2_nk2_alpha0,2,2,2,0.0,35,85.59926052019044,68.06410052743253,65.54910834996441,66.00784911105501,0.9174815221811857,"[65.6323959291068, 67.5607070942961, 65.6657388160925, 65.17255460472467]"
old_feedback_data,ARX_na2_nb2_nk2_alpha0.001,2,2,2,0.001,35,85.5992626659678,68.06409491933923,65.54910483528157,66.00784303070354,0.91747639084394,"[65.63240693882574, 67.56069648510388, 65.66570054573832, 65.17256815314623]"
old_feedback_data,ARX_na2_nb2_nk2_alpha0.01,2,2,2,0.01,35,85.59928143091139,68.06404700573238,65.54907548374432,66.0077910414561,0.9174311154235814,"[65.63250612021838, 67.56060466362126, 65.6653634200295, 65.17268996195527]"
old_feedback_data,ARX_na2_nb2_nk2_alpha0.1,2,2,2,0.1,35,85.59942561078118,68.06378444774658,65.54897742965456,66.00750262763421,0.9170503959593049,"[65.63350566366042, 67.5599876259113, 65.66262032237844, 65.17389689858666]"
old_feedback_data,ARX_na2_nb3_nk2_alpha0.1,2,3,2,0.1,51,85.60391534947841,68.04729941910286,65.51824015349102,65.9978428005393,0.9592052940965534,"[65.58711841178993, 67.62614062582374, 65.63299082444061, 65.14512134010293]"
old_feedback_data,ARX_na2_nb3_nk2_alpha0.01,2,3,2,0.01,51,85.60376192966457,68.04672772298102,65.51735813720506,65.99723286675147,0.9597494590928145,"[65.58576070634584, 67.62633345988789, 65.63325381480523, 65.14358348596694]"
