input_set,model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_input_cols,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
inside_only,ARX_na18_nb6_nk3_alpha0.1,18,6,3,0.1,360,60,120,19,133,95.54996527193067,80.07472880902412,"[85.85364100882526, 64.0986804151868, 82.74459838074472, 79.6025339631536]",78.0748634419776,8.366350369971068,73.89168825699207
inside_only,ARX_na12_nb6_nk1_alpha0.1,12,6,1,0.1,240,20,120,19,127,95.47251534103131,79.93832034272816,"[86.8050679529425, 64.2085301827313, 83.89044226848597, 77.99325691592406]",78.22432433002095,8.692380734642843,73.87813396269952
inside_only,ARX_na12_nb6_nk3_alpha0.1,12,6,3,0.1,240,60,120,19,127,95.54573319367934,79.94180787656693,"[86.03504750427501, 63.72002438849993, 83.37305965294506, 79.57804868106496]",78.17654505669624,8.656139828277013,73.84847514255773
inside_only,ARX_na24_nb3_nk2_alpha0.1,24,3,2,0.1,480,40,60,19,82,95.32336070799751,77.1513548641898,"[77.97906613784782, 68.20311750737427, 78.73953252606967, 78.79616723579845]",75.92947085177255,4.472464969419467,73.69323836706282
inside_only,ARX_na12_nb6_nk2_alpha10,12,6,2,10.0,240,40,120,19,127,95.48672734447908,79.82884090018392,"[84.66018422600175, 64.2510127150394, 82.37880543989625, 79.19119681103513]",77.62029979799313,7.95941114712263,73.64059422443181
inside_only,ARX_na18_nb3_nk2_alpha1,18,3,2,1.0,360,40,60,19,76,95.32006110261558,76.24631734447337,"[75.74476014947236, 69.17454036549155, 78.47499121928033, 78.8834649775837]",75.56943917795698,3.8842781803751714,73.6273000877694
inside_only,ARX_na12_nb3_nk3_alpha1,12,3,3,1.0,240,60,60,19,70,95.39964820513386,76.23984588460057,"[72.04800748765713, 71.30398728105398, 80.88998891429127, 77.49466887200983]",75.43416313875305,3.95398917167145,73.45716855291732
inside_only,ARX_na12_nb6_nk2_alpha1,12,6,2,1.0,240,40,120,19,127,95.51356232609606,79.88004829212996,"[85.46560151990262, 63.48513337970836, 82.43065148843135, 79.12443068190042]",77.62645426748568,8.46689775496386,73.39300539000375
inside_only,ARX_na18_nb6_nk2_alpha10,18,6,2,10.0,360,40,120,19,133,95.49131587345003,79.16873247253658,"[83.3085211728556, 64.69481836120443, 80.8140264122844, 79.14801467079451]",76.99134515428474,7.252161736790163,73.36526428588967
inside_only,ARX_na18_nb3_nk2_alpha10,18,3,2,10.0,360,40,60,19,76,95.28679065942785,76.03020390775464,"[75.06238858526089, 68.99195601595821, 78.46537513511129, 78.64319398479904]",75.29072843028236,3.9065355497863234,73.3374606553892
inside_only,ARX_na12_nb6_nk2_alpha0.1,12,6,2,0.1,240,40,120,19,127,95.51444227545748,79.9021034575872,"[85.80297785135322, 63.20009234635982, 82.53346842219644, 79.07790378547386]",77.65361060134583,8.676952229164012,73.31513448676382
inside_only,ARX_na24_nb6_nk2_alpha10,24,6,2,10.0,480,40,120,19,139,95.49285838238659,79.05276486267037,"[83.32667034028196, 64.6977741156492, 80.37726904366335, 79.12617416674638]",76.88197191658523,7.197957341685948,73.28299324574226
